# Field minima and maxima
# Time            	field             	min               	location(min)     	max               	location(max)     
0.47              	U                 	(1.0000000000e+00 -2.3491347750e-16 -1.0664709776e-15)	(-1.5800000000e-01 -8.5000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 1.3627051675e-15 4.3001929298e-16)	(8.9200000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.47              	k                 	6.0979427593e-03	(1.0920000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.47              	p                 	-3.7731379804e-15	(-5.5800000000e-01 8.0000000000e-01 8.5000000000e-01)	4.9501815371e-15	(-5.5800000000e-01 -4.0000000000e-01 -3.5000000000e-01)
0.47              	omega             	9.4712515943e+00	(1.1420000000e+00 8.0000000000e-01 8.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.48              	nut               	6.4305459560e-04	(-5.8000000000e-02 8.5000000000e-01 0.0000000000e+00)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.48              	U                 	(1.0000000000e+00 -3.3246563493e-16 -6.5579193292e-16)	(-2.5800000000e-01 -8.0000000000e-01 -7.0000000000e-01)	(1.0000000000e+00 1.3219201939e-15 3.8129168880e-16)	(8.9200000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.48              	k                 	6.0468001408e-03	(1.1420000000e+00 8.0000000000e-01 8.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.48              	p                 	-1.2817243629e-15	(9.4200000000e-01 0.0000000000e+00 -6.0000000000e-01)	8.3789654258e-15	(-5.5800000000e-01 8.5000000000e-01 1.5000000000e-01)
0.48              	omega             	9.3975541299e+00	(1.1420000000e+00 8.0000000000e-01 8.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.49              	nut               	6.4265191103e-04	(-5.8000000000e-02 8.5000000000e-01 0.0000000000e+00)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.49              	U                 	(1.0000000000e+00 -5.2065162454e-16 -5.4568210980e-16)	(-2.0800000000e-01 -8.0000000000e-01 -6.5000000000e-01)	(1.0000000000e+00 1.2706115918e-15 3.4663030122e-16)	(8.9200000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.49              	k                 	5.9964747549e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.49              	p                 	-1.4228820341e-14	(-5.5800000000e-01 1.0000000000e-01 -5.0000000000e-02)	2.6575075144e-16	(1.1420000000e+00 -3.0000000000e-01 4.5000000000e-01)
0.49              	omega             	9.3249947158e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.5               	nut               	6.4226149027e-04	(-5.8000000000e-02 8.5000000000e-01 0.0000000000e+00)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.5               	U                 	(1.0000000000e+00 -5.3914527740e-16 -6.1705339833e-16)	(-1.5800000000e-01 -8.0000000000e-01 -6.5000000000e-01)	(1.0000000000e+00 5.5408376788e-16 6.2909165143e-16)	(-4.0800000000e-01 8.5000000000e-01 7.5000000000e-01)
0.5               	k                 	5.9469474321e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.5               	p                 	-5.3748113382e-16	(1.1420000000e+00 8.0000000000e-01 -3.0000000000e-01)	7.0404189239e-15	(-5.5800000000e-01 -6.5000000000e-01 -8.5000000000e-01)
0.5               	omega             	9.2535471931e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.51              	nut               	6.4188475318e-04	(-5.8000000000e-02 8.5000000000e-01 0.0000000000e+00)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.51              	U                 	(1.0000000000e+00 -5.6912197576e-16 -6.1388090862e-16)	(-1.5800000000e-01 -8.0000000000e-01 -6.5000000000e-01)	(1.0000000000e+00 1.7468167653e-16 4.2517237676e-16)	(-1.5800000000e-01 6.5000000000e-01 6.0000000000e-01)
0.51              	k                 	5.8981995935e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.51              	p                 	-1.0540981894e-15	(1.0920000000e+00 -5.0000000000e-01 -1.0000000000e-01)	7.6869620821e-15	(-5.5800000000e-01 8.5000000000e-01 2.5000000000e-01)
0.51              	omega             	9.1831861983e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.52              	nut               	6.4147960044e-04	(-8.0000000000e-03 8.0000000000e-01 8.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.52              	U                 	(1.0000000000e+00 -7.3735391712e-16 -4.2817906808e-16)	(-1.5800000000e-01 -7.0000000000e-01 -8.5000000000e-01)	(1.0000000000e+00 3.8384219628e-16 3.4940176714e-16)	(-2.0800000000e-01 2.5000000000e-01 8.5000000000e-01)
0.52              	k                 	5.8502132287e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.52              	p                 	-8.6878650282e-15	(-5.0800000000e-01 8.5000000000e-01 -5.5000000000e-01)	3.1070468304e-16	(1.1420000000e+00 -8.5000000000e-01 -8.5000000000e-01)
0.52              	omega             	9.1138871336e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.53              	nut               	6.4107579859e-04	(-8.0000000000e-03 8.0000000000e-01 8.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.53              	U                 	(1.0000000000e+00 -6.9456709846e-16 -4.7933106225e-16)	(-1.5800000000e-01 -7.0000000000e-01 -8.5000000000e-01)	(1.0000000000e+00 1.9149090500e-16 8.0647179465e-16)	(4.2000000000e-02 3.0000000000e-01 -8.0000000000e-01)
0.53              	k                 	5.8029708742e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.53              	p                 	-1.4983548507e-15	(-5.5800000000e-01 5.5000000000e-01 8.5000000000e-01)	6.1466393472e-15	(-5.5800000000e-01 0.0000000000e+00 -8.5000000000e-01)
0.53              	omega             	9.0456261382e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.54              	nut               	6.4068180738e-04	(-8.0000000000e-03 8.0000000000e-01 8.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.54              	U                 	(1.0000000000e+00 -6.1230171268e-16 -5.8803453505e-16)	(-1.5800000000e-01 -8.0000000000e-01 -6.5000000000e-01)	(1.0000000000e+00 2.8272555115e-16 3.6269828327e-16)	(1.0420000000e+00 -8.5000000000e-01 -7.5000000000e-01)
0.54              	k                 	5.7564555927e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.54              	p                 	-1.3715511202e-15	(9.9200000000e-01 8.5000000000e-01 -8.5000000000e-01)	7.6363526542e-15	(-5.5800000000e-01 8.5000000000e-01 1.5000000000e-01)
0.54              	omega             	8.9783800608e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.55              	nut               	6.4029900256e-04	(-8.0000000000e-03 8.0000000000e-01 8.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.55              	U                 	(1.0000000000e+00 -6.1674313552e-16 -5.8299624318e-16)	(-1.5800000000e-01 -8.0000000000e-01 -6.5000000000e-01)	(1.0000000000e+00 3.2320875085e-16 3.5777878453e-16)	(1.0420000000e+00 -8.5000000000e-01 -7.5000000000e-01)
0.55              	k                 	5.7106509537e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.55              	p                 	-1.3354228575e-14	(-3.5800000000e-01 8.5000000000e-01 0.0000000000e+00)	2.5774949823e-16	(1.1420000000e+00 6.0000000000e-01 6.5000000000e-01)
0.55              	omega             	8.9121264334e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.56              	nut               	6.3992872199e-04	(-8.0000000000e-03 8.0000000000e-01 8.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.56              	U                 	(1.0000000000e+00 -6.2362408537e-16 -6.0317909648e-16)	(-1.5800000000e-01 -8.0000000000e-01 -6.5000000000e-01)	(1.0000000000e+00 5.8478119599e-16 6.4692229540e-16)	(-4.0800000000e-01 8.5000000000e-01 7.5000000000e-01)
0.56              	k                 	5.6655410148e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.56              	p                 	-2.6798385029e-15	(-5.5800000000e-01 8.5000000000e-01 8.0000000000e-01)	4.2078587397e-15	(5.9200000000e-01 -5.0000000000e-01 -6.5000000000e-01)
0.56              	omega             	8.8468434462e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.57              	nut               	6.3956173926e-04	(4.2000000000e-02 -8.5000000000e-01 -2.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.57              	U                 	(1.0000000000e+00 -1.0203725367e-15 -4.6127525374e-16)	(-1.0800000000e-01 -7.0000000000e-01 -8.5000000000e-01)	(1.0000000000e+00 3.9673908955e-16 4.5470214759e-16)	(-1.0800000000e-01 6.0000000000e-01 5.0000000000e-01)
0.57              	k                 	5.6211103035e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.57              	p                 	-8.3549282574e-16	(1.0920000000e+00 -8.5000000000e-01 8.5000000000e-01)	6.1607161932e-15	(-5.5800000000e-01 -2.5000000000e-01 5.0000000000e-01)
0.57              	omega             	8.7825099242e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.58              	nut               	6.3916697119e-04	(4.2000000000e-02 -8.5000000000e-01 -2.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.58              	U                 	(1.0000000000e+00 -8.0682207601e-16 -6.6570243550e-16)	(-5.8000000000e-02 -8.0000000000e-01 -8.5000000000e-01)	(1.0000000000e+00 3.3183838341e-16 5.8576974848e-16)	(-3.5800000000e-01 5.0000000000e-01 8.5000000000e-01)
0.58              	k                 	5.5773438003e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.58              	p                 	-1.1437544429e-14	(-5.0800000000e-01 8.5000000000e-01 8.5000000000e-01)	4.3093148285e-16	(1.1420000000e+00 -4.5000000000e-01 6.5000000000e-01)
0.58              	omega             	8.7191053035e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.59              	nut               	6.3878117063e-04	(4.2000000000e-02 -8.5000000000e-01 -2.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.59              	U                 	(1.0000000000e+00 -9.9919022807e-16 -4.7473930481e-16)	(-1.0800000000e-01 -7.0000000000e-01 -8.5000000000e-01)	(1.0000000000e+00 3.1957655563e-16 6.2646924068e-16)	(4.2000000000e-02 3.0000000000e-01 -8.0000000000e-01)
0.59              	k                 	5.5342269226e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.59              	p                 	-1.2622012275e-15	(9.9200000000e-01 8.5000000000e-01 -8.5000000000e-01)	7.9395901262e-15	(-3.0800000000e-01 -3.0000000000e-01 -4.5000000000e-01)
0.59              	omega             	8.6566096100e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.6               	nut               	6.3840562997e-04	(4.2000000000e-02 -8.5000000000e-01 -2.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.6               	U                 	(1.0000000000e+00 -9.4408108055e-16 -4.5804362112e-16)	(-1.0800000000e-01 -7.0000000000e-01 -8.5000000000e-01)	(1.0000000000e+00 3.5014775085e-16 5.9904180697e-16)	(4.2000000000e-02 3.0000000000e-01 -8.0000000000e-01)
0.6               	k                 	5.4917455082e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.6               	p                 	-1.9472479280e-15	(-4.5800000000e-01 -8.5000000000e-01 -8.5000000000e-01)	4.2406738038e-15	(-2.0800000000e-01 -2.5000000000e-01 8.5000000000e-01)
0.6               	omega             	8.5950034380e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.61              	nut               	6.3804161400e-04	(4.2000000000e-02 -8.5000000000e-01 -2.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.61              	U                 	(1.0000000000e+00 -6.4866924663e-16 -7.5498746023e-16)	(-5.8000000000e-02 -8.5000000000e-01 -7.5000000000e-01)	(1.0000000000e+00 3.4256255928e-16 5.4492115126e-16)	(4.2000000000e-02 3.0000000000e-01 -8.0000000000e-01)
0.61              	k                 	5.4498858011e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.61              	p                 	-1.1315425406e-14	(-5.5800000000e-01 -7.0000000000e-01 -6.0000000000e-01)	3.3618714299e-16	(1.1420000000e+00 6.0000000000e-01 -2.5000000000e-01)
0.61              	omega             	8.5342679305e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.62              	nut               	6.3769032586e-04	(4.2000000000e-02 -8.5000000000e-01 -2.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.62              	U                 	(1.0000000000e+00 -7.6434128697e-16 -3.5431468595e-16)	(-1.0800000000e-01 -7.0000000000e-01 -8.5000000000e-01)	(1.0000000000e+00 3.2133992183e-16 5.1233646687e-16)	(4.2000000000e-02 3.0000000000e-01 -8.0000000000e-01)
0.62              	k                 	5.4086344368e-03	(1.1420000000e+00 8.0000000000e-01 8.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.62              	p                 	-9.3588771736e-15	(-5.0800000000e-01 7.5000000000e-01 8.5000000000e-01)	1.3238072342e-15	(7.4200000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.62              	omega             	8.4743847597e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.63              	nut               	6.3732397523e-04	(9.2000000000e-02 8.5000000000e-01 8.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.63              	U                 	(1.0000000000e+00 -6.9368549946e-16 -3.0568667541e-16)	(-1.0800000000e-01 -7.0000000000e-01 -8.5000000000e-01)	(1.0000000000e+00 2.7045929843e-16 4.3799461816e-16)	(4.2000000000e-02 3.0000000000e-01 -8.0000000000e-01)
0.63              	k                 	5.3679784284e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.63              	p                 	-2.5985369089e-15	(-5.5800000000e-01 -4.5000000000e-01 -6.0000000000e-01)	3.4224335335e-15	(-5.5800000000e-01 2.0000000000e-01 3.0000000000e-01)
0.63              	omega             	8.4153361085e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.64              	nut               	6.3694592462e-04	(9.2000000000e-02 8.5000000000e-01 8.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.64              	U                 	(1.0000000000e+00 -4.8465154249e-16 -1.1109009396e-15)	(-8.0000000000e-03 -8.5000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 2.7136187320e-16 3.7419483385e-16)	(4.2000000000e-02 3.0000000000e-01 -8.0000000000e-01)
0.64              	k                 	5.3279051535e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.64              	p                 	-1.1348674849e-14	(-5.5800000000e-01 -4.5000000000e-01 1.0000000000e-01)	5.6644102777e-16	(1.0920000000e+00 -5.0000000000e-02 -8.5000000000e-01)
0.64              	omega             	8.3571046532e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.65              	nut               	6.3657732290e-04	(9.2000000000e-02 8.5000000000e-01 8.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.65              	U                 	(1.0000000000e+00 -8.1856119119e-16 -6.5930670780e-16)	(4.2000000000e-02 -7.0000000000e-01 -8.5000000000e-01)	(1.0000000000e+00 6.5826317423e-16 7.7243553482e-16)	(5.9200000000e-01 8.5000000000e-01 8.5000000000e-01)
0.65              	k                 	5.2884023418e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.65              	p                 	-7.9298958078e-15	(-5.5800000000e-01 8.5000000000e-01 8.0000000000e-01)	3.3842482264e-16	(1.0420000000e+00 8.5000000000e-01 8.5000000000e-01)
0.65              	omega             	8.2996735462e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.66              	nut               	6.3621936625e-04	(9.2000000000e-02 6.5000000000e-01 6.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.66              	U                 	(1.0000000000e+00 -5.1314262896e-16 -1.1441207742e-15)	(-8.0000000000e-03 -8.5000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 6.4124856349e-16 7.6662000187e-16)	(5.9200000000e-01 8.5000000000e-01 8.5000000000e-01)
0.66              	k                 	5.2494580626e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.66              	p                 	-1.0373324689e-15	(9.9200000000e-01 8.5000000000e-01 -8.5000000000e-01)	5.7108589799e-15	(-5.5800000000e-01 5.0000000000e-01 2.5000000000e-01)
0.66              	omega             	8.2430263997e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.67              	nut               	6.3587321909e-04	(9.2000000000e-02 6.5000000000e-01 6.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.67              	U                 	(1.0000000000e+00 -5.0137565536e-16 -1.1524970447e-15)	(-8.0000000000e-03 -8.5000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 2.6359334059e-16 3.5572493895e-16)	(6.4200000000e-01 5.0000000000e-01 8.5000000000e-01)
0.67              	k                 	5.2110607132e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.67              	p                 	-5.1839051334e-15	(-4.5800000000e-01 8.5000000000e-01 8.5000000000e-01)	3.9496719789e-16	(1.0920000000e+00 1.5000000000e-01 -8.5000000000e-01)
0.67              	omega             	8.1871472704e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.68              	nut               	6.3553998342e-04	(9.2000000000e-02 6.5000000000e-01 6.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.68              	U                 	(1.0000000000e+00 -5.0595882438e-16 -1.1664899906e-15)	(-8.0000000000e-03 -8.5000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 4.5628902503e-16 6.0436632947e-16)	(-3.0800000000e-01 5.0000000000e-01 8.5000000000e-01)
0.68              	k                 	5.1731990082e-03	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.68              	p                 	-2.9518552925e-15	(-5.5800000000e-01 7.0000000000e-01 8.5000000000e-01)	2.5120150860e-15	(9.2000000000e-02 -8.5000000000e-01 -4.5000000000e-01)
0.68              	omega             	8.1320206445e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.69              	nut               	6.3517176837e-04	(1.4200000000e-01 -2.5000000000e-01 3.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.69              	U                 	(1.0000000000e+00 -5.4743488805e-16 -1.1613624702e-15)	(-8.0000000000e-03 -8.5000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 4.3245813185e-16 6.0914600261e-16)	(-3.0800000000e-01 5.0000000000e-01 8.5000000000e-01)
0.69              	k                 	5.1358619682e-03	(1.1420000000e+00 8.0000000000e-01 8.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.69              	p                 	-1.0690428537e-15	(1.0920000000e+00 -8.5000000000e-01 -7.5000000000e-01)	4.5437787521e-15	(-5.5800000000e-01 8.5000000000e-01 1.5000000000e-01)
0.69              	omega             	8.0776314231e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.7               	nut               	6.3480986250e-04	(1.4200000000e-01 -2.5000000000e-01 3.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.7               	U                 	(1.0000000000e+00 -5.7662318506e-16 -1.2129646646e-15)	(-8.0000000000e-03 -8.5000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 2.0565399851e-16 3.4344712559e-16)	(-4.0800000000e-01 -2.5000000000e-01 8.5000000000e-01)
0.7               	k                 	5.0990389098e-03	(1.1420000000e+00 8.0000000000e-01 8.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.7               	p                 	-1.4192757505e-14	(-5.5800000000e-01 1.0000000000e-01 5.0000000000e-02)	2.6184179800e-16	(1.1420000000e+00 2.0000000000e-01 5.5000000000e-01)
0.7               	omega             	8.0239649085e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.71              	nut               	6.3445782766e-04	(1.4200000000e-01 -2.5000000000e-01 3.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.71              	U                 	(1.0000000000e+00 -6.0373425179e-16 -1.2157703169e-15)	(-8.0000000000e-03 -8.5000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 3.8633976199e-16 5.9490870165e-16)	(4.2000000000e-02 8.5000000000e-01 7.5000000000e-01)
0.71              	k                 	5.0627194359e-03	(1.1420000000e+00 8.0000000000e-01 8.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.71              	p                 	-5.5754688880e-15	(-4.5800000000e-01 8.5000000000e-01 8.5000000000e-01)	2.3931459025e-15	(7.4200000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.71              	omega             	7.9710067913e+00	(1.1420000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.72              	nut               	6.3411678595e-04	(1.4200000000e-01 -2.5000000000e-01 3.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.72              	U                 	(1.0000000000e+00 -5.5687009881e-16 -1.3657264621e-15)	(4.2000000000e-02 -8.5000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 4.3392712636e-16 4.0670446465e-16)	(-1.5800000000e-01 2.5000000000e-01 8.5000000000e-01)
0.72              	k                 	5.0268934259e-03	(1.1420000000e+00 8.0000000000e-01 8.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.72              	p                 	-7.9480686425e-16	(1.0920000000e+00 -6.0000000000e-01 -8.5000000000e-01)	8.9158729728e-15	(-5.5800000000e-01 2.5000000000e-01 4.0000000000e-01)
0.72              	omega             	7.9187431371e+00	(1.1420000000e+00 8.0000000000e-01 8.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.73              	nut               	6.3378779948e-04	(1.4200000000e-01 -2.5000000000e-01 3.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.73              	U                 	(1.0000000000e+00 -5.4208225010e-16 -1.4458027307e-15)	(4.2000000000e-02 -8.5000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 3.4564449721e-16 5.6191359822e-16)	(-4.0800000000e-01 8.5000000000e-01 7.5000000000e-01)
